feature_value,class
1.9632593445503057,1
0.7727390960705316,4
-0.14400685174352612,1
-1.4992427625842524,4
6.02636280906554,3
8.315146798990463,4
0.7899298314930261,1
1.1120147709582682,4
-2.4380911333274753,3
0.9190952773649406,1
0.786923471823451,1
-1.1224729641413367,3
-3.9711944070288183,3
5.962481502966574,3
1.427562577373187,1
2.4050078781104482,3
2.3225099471464343,3
-4.572720430026331,4
-0.7052375533279935,2
1.0209538913746177,4
0.7417197919903757,1
-0.8230798629298823,1
2.309285931646473,3
-0.4054404254010021,1
0.7092491642591738,2
1.78163113001537,3
-0.7168767977563881,3
1.7510404255837677,3
2.624901640100156,3
0.6470407811807886,2
-2.752348865601679,4
0.1372208921878748,4
4.274773854804831,3
-0.5179032680960711,4
0.8224383622904989,1
4.9378587889277,3
2.581182092754183,2
-2.473752293442936,4
0.6592431721215257,1
0.4301304176440366,2
8.514031882475958,4
0.9036859665085026,1
-1.9691722602610158,4
-0.19802440205257432,1
9.562546410829636,4
-3.2438142695009766,3
-0.7081330216955468,1
6.244609449429837,3
4.691158499395983,3
1.5798926280134409,1
3.250149170110043,2
0.6329748647336219,2
5.164010195449352,2
-3.1945481332142807,4
2.227185670138959,3
-1.0699284615877016,1
2.4769055791326156,3
2.380539939627223,2
-2.00672378469747,2
-0.6143831699708244,1
-1.4160018077728385,2
0.9056742142541357,1
-0.0774571539349369,1
-1.3443186666511133,4
1.8670733324514648,3
0.004559884175423967,4
2.633826148092159,3
1.1613090503170196,1
4.780286597402679,3
0.555974644896721,1
0.22163552313512858,4
9.386756104762247,4
-1.3608938629526417,3
1.1017693926515637,1
9.907772771775246,4
0.9003646297586494,3
0.2228244036971554,1
4.601345007949069,4
2.6935654409573067,2
1.3416618846739423,4
3.8304801057274718,2
0.4535487639828129,1
7.022553505018798,3
0.5428515037505113,3
8.087614607175635,4
3.868952031564712,2
-0.40476663700160576,1
-0.15771572594414163,1
8.86081584284625,4
6.658422445086202,4
3.6893230096040446,4
5.532434273462226,4
6.83295423753971,3
1.563207906663626,4
0.12426765036932169,1
-1.2099707405358537,1
10.083330948077466,4
-4.988174183677059,3
0.839424295670952,1
3.057123957302499,3
-0.3116479472952547,1
0.3547637113961569,1
5.159706875314562,2
-0.2910318974647834,2
1.2925640102946026,4
3.8596936720665704,4
0.120629344457158,2
-0.11183949218493261,3
6.079339791223369,3
4.860710803114144,3
0.13264365071253242,1
5.86883854673538,3
8.643787907513985,4
4.441608709232995,4
4.477139914987809,3
12.192336915564718,3
0.4997374069957843,4
7.743104643146446,3
1.1063228984912294,1
-1.8070915786862978,4
3.0777305327226108,2
-1.7664759348168166,1
1.5665825971368463,2
3.6840805522696356,3
0.6842419774941595,3
1.139296339500095,4
0.770696349833792,1
3.2823504190153883,3
-0.4205119654066838,4
-0.8067097415046192,2
7.753999368434419,3
-2.940445669329499,3
5.943747356062097,3
0.8401302662153771,4
7.5100430301314764,4
8.428345199752798,4
2.846285285175363,4
-0.5615719238739851,2
2.996340174614418,2
4.8090633687885935,4
-0.45887290918928914,3
2.3220136090535983,3
3.859328392089532,2
1.6871207369193724,2
-2.5137179675430668,3
-0.4042880573317631,1
6.149861599124546,3
0.03791947683636604,1
2.5718397382875837,2
-1.4892065589572294,1
2.7633981009988346,3
2.055334299097809,1
-0.5799500618561793,1
4.867706987717611,3
-0.950238804067167,1
6.889774474912323,4
1.6405937353869955,2
0.08164318700316553,2
-0.15155153727238757,1
0.3450773614207054,1
0.5726712988864247,1
4.762164288016854,3
4.445925258172604,3
0.7885992867783482,1
-0.33530555732459455,1
0.17317485804496963,1
0.7742592737513467,1
2.6157514680041833,3
-0.4954280427980301,1
2.4950880775779964,2
3.726201090594186,3
2.2694351453199593,4
6.0701243443244,4
2.1408155289259785,1
1.2931256856028042,3
-1.3107022144168055,1
-0.4742510644788329,2
2.6719774328492423,2
5.917696550556814,4
0.8809728456253989,3
4.781507986700477,4
2.279606252840597,3
1.7738526927573794,1
1.2100653041692304,1
3.710271604560204,4
4.089724467991674,4
4.550952514232504,4
5.413492280095832,4
4.222011040931804,2
-1.4991257015423527,1
0.5189695779101833,1
9.557995193439204,3
1.661703696022678,2
-0.39710252400352564,1
-4.8758692118693965,4
-0.01710388714158273,1
0.948629184340412,2
2.9185195739070995,3
0.7378369652534342,2
3.185782399356321,3
0.2529884591497325,1
2.6347299140846157,3
-1.620418171536274,3
-1.5094371890223472,1
1.2393280865805547,1
4.5890244385268275,4
2.945318315051694,1
3.3696785196082635,4
-0.06975977811556211,2
1.5201682768796216,2
1.3268215504612666,4
-0.9524040025508034,1
1.6893162551271366,3
2.782824173356953,2
-4.0770557984895675,4
-0.8591146490032273,1
-0.6760170329808481,3
2.0994756412020665,2
0.1892776743034641,1
